datetime,price,consumption,dailyTempAvg(Celsius),dailyTempMax(Celsius),dailyTempMin(Celsius),numberFreezingDays,numberIcyDays,monthlyRainVolume(mm),numberRainyDays,dailySunnyHoursAvg,monthlyWindSpeedAvg(km/h),price_dayahead,consumption_dayahead,holidayBefore,holidayAfter,isHoliday,participants,price_premium,january,february,march,april,may,june,july,august,september,october,november,december
2016-01-01 09:30:00,29.33,344.3,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,19.77,12154.7,6,84,1,1285.0,0.73,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-02 14:30:00,14.58,249.6,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,22.63,13466.9,1,83,0,1285.0,3.82,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-03 08:00:00,-4.53,661.8,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,11.4,11677.6,2,82,0,1285.0,-21.6,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-04 07:15:00,27.89,266.1,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,31.44,11746.6,3,81,0,1285.0,-6.02,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-04 12:00:00,36.07,410.4,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,35.0,16766.9,3,81,0,1285.0,-6.38,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-07 02:15:00,24.35,146.5,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,24.93,11059.0,6,78,0,1285.0,5.64,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-07 11:15:00,39.08,238.7,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,41.5,18037.0,6,78,0,1285.0,10.54,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-09 05:00:00,26.93,188.4,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,22.45,8745.6,8,76,0,1285.0,4.55,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-09 17:15:00,35.85,328.7,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,36.99,12286.7,8,76,0,1285.0,9.98,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-11 11:45:00,40.97,315.4,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,41.96,16916.3,10,74,0,1285.0,8.51,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-12 14:45:00,36.02,462.1,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,32.21,18040.7,11,73,0,1285.0,3.27,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-13 17:15:00,36.93,406.7,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,43.0,17814.9,12,72,0,1285.0,-1.29,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-15 06:15:00,22.59,423.6,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,33.4,11327.9,14,70,0,1285.0,12.26,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-15 14:30:00,39.76,390.6,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,39.99,11996.1,14,70,0,1285.0,10.61,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-15 19:00:00,45.69,890.6,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,49.98,12022.7,14,70,0,1285.0,9.02999999999999,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-16 05:30:00,27.72,264.2,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,25.32,12970.3,15,69,0,1285.0,1.92,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-18 01:30:00,23.42,158.7,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,35.66,12617.0,17,67,0,1285.0,5.67,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-18 10:30:00,47.28,254.5,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,50.5,15968.0,17,67,0,1285.0,-6.33,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-18 13:00:00,45.9,431.1,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,52.99,15465.1,17,67,0,1285.0,-4.36,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-18 13:30:00,45.18,210.2,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,52.99,15465.1,17,67,0,1285.0,-2.36,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-18 14:30:00,45.08,222.7,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,54.2,15515.7,17,67,0,1285.0,-1.65,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-18 14:45:00,46.39,484.2,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,54.2,15515.7,17,67,0,1285.0,-7.11,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-20 06:45:00,48.04,1234.6,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,42.04,14143.1,19,65,0,1285.0,-59.17,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-20 15:45:00,57.94,518.4,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,52.42,17175.2,19,65,0,1285.0,-14.52,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-20 20:30:00,45.52,415.8,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,67.62,13775.1,19,65,0,1285.0,26.05,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-23 07:45:00,34.01,793.8,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,33.44,15238.9,22,62,0,1285.0,-2.61,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-25 00:30:00,16.22,264.2,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,33.64,11635.0,24,60,0,1285.0,12.47,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-25 05:45:00,34.38,1193.7,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,24.96,12965.8,24,60,0,1285.0,1.98,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-25 11:00:00,36.15,401.7,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,35.6,15850.3,24,60,0,1285.0,1.3,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-25 22:00:00,42.95,992.4,1.28686790505676,3.31337313778911,-0.568083364815514,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,23.93,11074.4,24,60,0,1285.0,-20.08,1,0,0,0,0,0,0,0,0,0,0,0
