price,consumption,dailyTempAvg(Celsius),numberFreezingDays,numberIcyDays,monthlyRainVolume(mm),numberRainyDays,dailySunnyHoursAvg,monthlyWindSpeedAvg(km/h),price_dayahead,consumption_dayahead,holidayBefore,holidayAfter,isHoliday,participants,price_premium,price_dayahead_lastDay,consumption_dayahead_lastDay,price_intraday_lastDay,consumption_intraday_lastDay,price_dayahead_increase_lastWeek,consumption_dayahead_increase_lastWeek,price_intraday_increase_lastWeek,consumption_intraday_increase_lastWeek,cat_price_premium,january,february,march,april,may,june,july,august,september,october,november,december,monday,tuesday,wednesday,thursday,friday,saturday,sunday,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
32.78,331.4,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,40.35,13813.6,15,69,0,1285.0,7.57,48.0,12751.5,45.35,381.1,1.6957142857142853,145.5,1.415714285714286,19.500000000000004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42.6,603.6,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,37.06,10417.8,16,68,0,1285.0,-5.54,40.35,13813.6,32.41,505.0,2.89,569.3857142857144,1.2285714285714282,-35.74285714285715,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48.04,1234.6,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,42.04,14143.1,19,65,0,1285.0,-6.0,43.47,15786.2,45.1,1366.7,1.9414285714285715,455.04285714285726,0.5700000000000003,47.44285714285717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.85,452.9,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,43.91,15097.2,20,64,0,1285.0,13.06,42.04,14143.1,32.12,548.3,1.2657142857142856,177.75714285714298,1.017142857142857,8.385714285714275,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.89,878.6,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,70.01,16193.9,20,64,0,1285.0,24.12,55.08,16007.6,35.1,872.3,1.5242857142857145,310.3714285714286,0.40714285714285736,3.5857142857142725,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.03,1152.4,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,60.01,15429.4,20,64,0,1285.0,-17.02,60.03,17509.4,75.88,761.2,2.704285714285714,350.3000000000003,5.412857142857142,-50.60000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40.87,904.0,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,34.55,13791.6,21,63,0,1285.0,-6.32,38.41,13151.5,45.47,777.0,1.6299999999999994,399.80000000000007,2.2657142857142856,-6.971428571428566,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.64,512.5,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,29.47,13198.6,22,62,0,1285.0,0.829999999999998,39.21,13349.8,41.79,426.5,1.4142857142857146,-4.657142857142909,0.9757142857142854,-16.18571428571428,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.88,439.3,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,30.0,14707.2,22,62,0,1285.0,1.12,61.05,15736.1,50.44,540.8,3.3428571428571425,502.8571428571428,2.5342857142857134,-7.314285714285722,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34.66,455.2,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,43.14,16247.0,25,59,0,1285.0,8.48,42.75,15495.6,36.32,405.4,-3.279999999999999,-172.0714285714283,-3.344285714285714,-10.900000000000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
