datetime,price,consumption,dailyTempAvg(Celsius),numberFreezingDays,numberIcyDays,monthlyRainVolume(mm),numberRainyDays,dailySunnyHoursAvg,monthlyWindSpeedAvg(km/h),price_dayahead,consumption_dayahead,holidayBefore,holidayAfter,isHoliday,participants,price_premium
2016-01-02 17:00:00,18.91,446.6,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,34.21,14821.8,1,83,0,1285,21.45
2016-01-04 14:45:00,42.49,390.3,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,34.94,17038.5,3,81,0,1285,-4.85
2016-01-04 17:00:00,36.38,354.9,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,41.21,18336.2,3,81,0,1285,3.56
2016-01-05 17:45:00,44.53,541.7,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,42.44,16104.7,4,80,0,1285,-4.12
2016-01-07 03:30:00,21.63,230.9,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,22.39,12956,6,78,0,1285,6.47
2016-01-07 04:45:00,25.31,472.8,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,22.32,13893.9,6,78,0,1285,-2.61
2016-01-09 20:30:00,22.63,371.2,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,29,10781.6,8,76,0,1285,2.85
2016-01-11 02:30:00,24.2,202.8,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,19.78,9534.8,10,74,0,1285,1.7
2016-01-11 09:00:00,46.88,466.4,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,44,15852.5,10,74,0,1285,4.63
2016-01-12 14:00:00,31.39,353.6,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,32.21,18040.7,11,73,0,1285,7.2
2016-01-12 22:45:00,12.08,811.9,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,29.93,14125.3,11,73,0,1285,15.32
2016-01-13 04:15:00,10.67,687.8,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,18.05,13812,12,72,0,1285,1.77
2016-01-13 11:15:00,28.05,519.9,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,46.5,17458.1,12,72,0,1285,11.1
2016-01-13 17:00:00,31.7,668.7,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,43,17814.9,12,72,0,1285,1.75
2016-01-14 09:15:00,41.49,498.4,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,46.3,15115.4,13,71,0,1285,0.409999999999997
2016-01-15 04:00:00,21.51,365.7,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,22.94,11533.9,14,70,0,1285,-4.25
2016-01-16 21:00:00,37.14,644.2,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,39.24,12639.7,15,69,0,1285,3.06
2016-01-17 12:45:00,25.06,405.1,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,38.56,10980.2,16,68,0,1285,-6.62
2016-01-18 00:30:00,24.19,183.7,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,38.14,11981.5,17,67,0,1285,10.4
2016-01-18 08:15:00,52.48,168.9,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,49.98,15958.1,17,67,0,1285,-5.94000000000001
2016-01-18 20:00:00,47.77,854.2,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,55.14,14986.2,17,67,0,1285,-20.74
2016-01-19 00:45:00,23.9,559.3,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,39.8,13474.9,18,66,0,1285,20.13
2016-01-19 03:15:00,31.28,268.5,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,32,13960.8,18,66,0,1285,0.02
2016-01-20 19:45:00,53.82,705.3,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,93.62,13916.2,19,65,0,1285,43.78
2016-01-21 12:30:00,55.11,241.6,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,59.91,16242.8,20,64,0,1285,17.8
2016-01-21 14:30:00,55.28,222.1,1.28686790505676,12.4044200982244,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,57.99,15558.6,20,64,0,1285,21.94
