ratio,loss,penalty,n_splits,tol,score
0.95,log,l1,50,0.01,0.5875604395604395
0.95,log,l1,100,0.001,0.5861098901098901
0.95,log,l1,100,0.003,0.5919120879120879
0.95,log,l1,100,0.005,0.5905494505494506
0.95,log,l1,100,0.007,0.5773186813186812
0.95,log,l1,100,0.01,0.594021978021978
0.95,log,l1,150,0.001,0.5887472527472527
0.95,log,l1,150,0.003,0.5896703296703297
0.95,log,l1,150,0.005,0.5836483516483517
0.95,log,l1,150,0.007,0.5922197802197802
0.95,log,l1,150,0.01,0.6005714285714285
0.95,modified_huber,l2,50,0.001,0.5756923076923076
0.95,modified_huber,l2,50,0.003,0.5864615384615385
0.95,modified_huber,l2,50,0.005,0.58610989010989
0.95,modified_huber,l2,50,0.007,0.5764835164835166
0.95,modified_huber,l2,50,0.01,0.5871648351648352
0.95,modified_huber,l2,100,0.001,0.5773186813186812
0.95,modified_huber,l2,100,0.003,0.5679120879120879
0.95,modified_huber,l2,100,0.005,0.5946373626373626
0.95,modified_huber,l2,100,0.007,0.5905054945054945
0.95,modified_huber,l2,100,0.01,0.5876483516483516
0.95,modified_huber,l2,150,0.001,0.5843076923076923
0.95,modified_huber,l2,150,0.003,0.57410989010989
0.95,modified_huber,l2,150,0.005,0.5713846153846154
0.95,modified_huber,l2,150,0.007,0.5756483516483517
0.95,modified_huber,l2,150,0.01,0.5872967032967032
0.95,modified_huber,elasticnet,50,0.001,0.5818021978021978
0.95,modified_huber,elasticnet,50,0.003,0.5957362637362638
0.95,modified_huber,elasticnet,50,0.005,0.5872527472527472
0.95,modified_huber,elasticnet,50,0.007,0.5780659340659342
0.95,modified_huber,elasticnet,50,0.01,0.5888351648351648
0.95,modified_huber,elasticnet,100,0.001,0.574989010989011
0.95,modified_huber,elasticnet,100,0.003,0.5926593406593407
0.95,modified_huber,elasticnet,100,0.005,0.576967032967033
0.95,modified_huber,elasticnet,100,0.007,0.5750769230769232
0.95,modified_huber,elasticnet,100,0.01,0.5803076923076923
0.95,modified_huber,elasticnet,150,0.001,0.5868131868131868
0.95,modified_huber,elasticnet,150,0.003,0.5836043956043957
0.95,modified_huber,elasticnet,150,0.005,0.5843516483516484
0.95,modified_huber,elasticnet,150,0.007,0.577098901098901
0.95,modified_huber,elasticnet,150,0.01,0.574065934065934
0.95,modified_huber,none,50,0.001,0.5899780219780221
0.95,modified_huber,none,50,0.003,0.5826813186813187
0.95,modified_huber,none,50,0.005,0.5821538461538462
0.95,modified_huber,none,50,0.007,0.5934065934065934
0.95,modified_huber,none,50,0.01,0.5822417582417582
0.95,modified_huber,none,100,0.001,0.5867692307692307
0.95,modified_huber,none,100,0.003,0.591032967032967
0.95,modified_huber,none,100,0.005,0.5915164835164834
0.95,modified_huber,none,100,0.007,0.583032967032967
0.95,modified_huber,none,100,0.01,0.5778461538461539
0.95,modified_huber,none,150,0.001,0.594021978021978
0.95,modified_huber,none,150,0.003,0.5891868131868133
0.95,modified_huber,none,150,0.005,0.5861978021978022
0.95,modified_huber,none,150,0.007,0.5887032967032966
0.95,modified_huber,none,150,0.01,0.5957362637362638
0.95,modified_huber,l1,50,0.001,0.5914725274725274
0.95,modified_huber,l1,50,0.003,0.5916923076923076
0.95,modified_huber,l1,50,0.005,0.5783296703296703
0.95,modified_huber,l1,50,0.007,0.5823736263736264
0.95,modified_huber,l1,50,0.01,0.5862857142857143
0.95,modified_huber,l1,100,0.001,0.6002637362637363
0.95,modified_huber,l1,100,0.003,0.5897142857142856
0.95,modified_huber,l1,100,0.005,0.5835164835164836
0.95,modified_huber,l1,100,0.007,0.5947692307692307
0.95,modified_huber,l1,100,0.01,0.5898461538461539
0.95,modified_huber,l1,150,0.001,0.5949010989010989
0.95,modified_huber,l1,150,0.003,0.5899340659340659
0.95,modified_huber,l1,150,0.005,0.5779340659340659
0.95,modified_huber,l1,150,0.007,0.5806593406593408
0.95,modified_huber,l1,150,0.01,0.5848791208791209
0.95,squared_hinge,l2,50,0.001,0.5854065934065934
0.95,squared_hinge,l2,50,0.003,0.573054945054945
0.95,squared_hinge,l2,50,0.005,0.5736263736263736
0.95,squared_hinge,l2,50,0.007,0.5893186813186813
0.95,squared_hinge,l2,50,0.01,0.5718241758241758
0.95,squared_hinge,l2,100,0.001,0.5767912087912089
0.95,squared_hinge,l2,100,0.003,0.5723516483516484
0.95,squared_hinge,l2,100,0.005,0.5756923076923076
0.95,squared_hinge,l2,100,0.007,0.5804395604395605
0.95,squared_hinge,l2,100,0.01,0.5731428571428572
0.95,squared_hinge,l2,150,0.001,0.5876043956043957
0.95,squared_hinge,l2,150,0.003,0.5722637362637363
0.95,squared_hinge,l2,150,0.005,0.5878241758241758
0.95,squared_hinge,l2,150,0.007,0.5894945054945054
0.95,squared_hinge,l2,150,0.01,0.5727472527472527
0.95,squared_hinge,elasticnet,50,0.001,0.5783736263736264
0.95,squared_hinge,elasticnet,50,0.003,0.5846593406593407
0.95,squared_hinge,elasticnet,50,0.005,0.5775384615384617
0.95,squared_hinge,elasticnet,50,0.007,0.5899780219780221
0.95,squared_hinge,elasticnet,50,0.01,0.5867692307692307
0.95,squared_hinge,elasticnet,100,0.001,0.5956043956043955
0.95,squared_hinge,elasticnet,100,0.003,0.5747692307692308
0.95,squared_hinge,elasticnet,100,0.005,0.5640439560439561
0.95,squared_hinge,elasticnet,100,0.007,0.5773626373626374
0.95,squared_hinge,elasticnet,100,0.01,0.581978021978022
0.95,squared_hinge,elasticnet,150,0.001,0.5839560439560441
0.95,squared_hinge,elasticnet,150,0.003,0.5795164835164834
0.95,squared_hinge,elasticnet,150,0.005,0.5759120879120879
0.95,squared_hinge,elasticnet,150,0.007,0.574989010989011
0.95,squared_hinge,elasticnet,150,0.01,0.5757802197802199
0.95,squared_hinge,none,50,0.001,0.5924835164835165
0.95,squared_hinge,none,50,0.003,0.5752087912087912
0.95,squared_hinge,none,50,0.005,0.5843516483516484
0.95,squared_hinge,none,50,0.007,0.5893186813186813
0.95,squared_hinge,none,50,0.01,0.5833846153846155
0.95,squared_hinge,none,100,0.001,0.5792527472527472
0.95,squared_hinge,none,100,0.003,0.5891428571428572
0.95,squared_hinge,none,100,0.005,0.5795604395604397
0.95,squared_hinge,none,100,0.007,0.5827692307692308
0.95,squared_hinge,none,100,0.01,0.5904615384615385
0.95,squared_hinge,none,150,0.001,0.5935824175824175
0.95,squared_hinge,none,150,0.003,0.5997362637362638
0.95,squared_hinge,none,150,0.005,0.5743736263736265
0.95,squared_hinge,none,150,0.007,0.5902417582417583
0.95,squared_hinge,none,150,0.01,0.5821538461538461
0.95,squared_hinge,l1,50,0.001,0.5925274725274725
0.95,squared_hinge,l1,50,0.003,0.5901538461538461
0.95,squared_hinge,l1,50,0.005,0.5911208791208791
0.95,squared_hinge,l1,50,0.007,0.5982857142857142
0.95,squared_hinge,l1,50,0.01,0.5801758241758241
0.95,squared_hinge,l1,100,0.001,0.582989010989011
0.95,squared_hinge,l1,100,0.003,0.589054945054945
0.95,squared_hinge,l1,100,0.005,0.5720879120879121
0.95,squared_hinge,l1,100,0.007,0.598021978021978
0.95,squared_hinge,l1,100,0.01,0.5875604395604397
0.95,squared_hinge,l1,150,0.001,0.5780659340659341
0.95,squared_hinge,l1,150,0.003,0.5958241758241758
0.95,squared_hinge,l1,150,0.005,0.5805274725274725
0.95,squared_hinge,l1,150,0.007,0.5848351648351648
0.95,squared_hinge,l1,150,0.01,0.5874725274725274
0.95,perceptron,l2,50,0.001,0.5841758241758241
0.95,perceptron,l2,50,0.003,0.5843076923076923
0.95,perceptron,l2,50,0.005,0.5868131868131868
0.95,perceptron,l2,50,0.007,0.5697142857142857
0.95,perceptron,l2,50,0.01,0.5795604395604397
0.95,perceptron,l2,100,0.001,0.5831208791208791
0.95,perceptron,l2,100,0.003,0.5778901098901099
